,,date,sentiment_score,sentiment_score,sentiment_score,sentiment_score,sentiment_score
,,,mean,std,mean_n_1,mean_n_2,mean_n_3
period,,,,,,,
0.0,0,2021-02-06 12:00:00,-0.700841632202594,0.6849597380291476,-0.5989552882342153,-0.6877041336108145,-0.7707246479888757
0.0,1,2021-02-07 00:00:00,-0.6713364802604347,0.716524926968556,-0.700841632202594,-0.5989552882342153,-0.6877041336108145
0.0,2,2021-02-07 12:00:00,-0.7193757700994148,0.656899433229025,-0.6713364802604347,-0.700841632202594,-0.5989552882342153
0.0,3,2021-02-08 00:00:00,-0.5884519739838707,0.780619331603168,-0.7193757700994148,-0.6713364802604347,-0.700841632202594
0.0,4,2021-02-08 12:00:00,-0.7061713945826491,0.6710773809088555,-0.5884519739838707,-0.7193757700994148,-0.6713364802604347
0.0,5,2021-02-09 00:00:00,-0.6368717020145515,0.735712749849385,-0.7061713945826491,-0.5884519739838707,-0.7193757700994148
0.0,6,2021-02-09 12:00:00,-0.6786291248921217,0.7026530222591353,-0.6368717020145515,-0.7061713945826491,-0.5884519739838707
0.0,7,2021-02-10 00:00:00,-0.6572220826791192,0.7249493193059479,-0.6786291248921217,-0.6368717020145515,-0.7061713945826491
0.0,8,2021-02-10 12:00:00,-0.7288077728201946,0.6488422613179795,-0.6572220826791192,-0.6786291248921217,-0.6368717020145515
0.0,9,2021-02-11 00:00:00,,,-0.7288077728201946,-0.6572220826791192,-0.6786291248921217
0.0,10,2021-02-11 12:00:00,,,,-0.7288077728201946,-0.6572220826791192
0.0,11,2021-02-12 00:00:00,,,,,-0.7288077728201946
0.0,12,2021-02-12 12:00:00,,,,,
0.0,13,2021-02-13 00:00:00,-0.714221720966164,0.668726997503735,,,
0.0,14,2021-02-13 12:00:00,-0.7378302996385031,0.6428042830960216,-0.714221720966164,,
0.0,15,2021-02-14 00:00:00,-0.6020837085107584,0.7719751520137288,-0.7378302996385031,-0.714221720966164,
0.0,16,2021-02-14 12:00:00,-0.7692684649937535,0.5627617382803963,-0.6020837085107584,-0.7378302996385031,-0.714221720966164
0.0,17,2021-02-15 00:00:00,-0.7314348330709545,0.5966992617247324,-0.7692684649937535,-0.6020837085107584,-0.7378302996385031
0.0,18,2021-02-15 12:00:00,-0.7195705992159257,0.6453998681017673,-0.7314348330709545,-0.7692684649937535,-0.6020837085107584
0.0,19,2021-02-16 00:00:00,,,-0.7195705992159257,-0.7314348330709545,-0.7692684649937535
0.0,20,2021-02-16 12:00:00,,,,-0.7195705992159257,-0.7314348330709545
0.0,21,2021-02-17 00:00:00,,,,,-0.7195705992159257
0.0,22,2021-02-17 12:00:00,,,,,
0.0,23,2021-02-18 00:00:00,-0.6025651573571189,0.7652691537543117,,,
0.0,24,2021-02-18 12:00:00,-0.7015372459982302,0.6785393031546565,-0.6025651573571189,,
0.0,25,2021-02-19 00:00:00,-0.613772135422079,0.7620750352927385,-0.7015372459982302,-0.6025651573571189,
0.0,26,2021-02-19 12:00:00,-0.7266486959868126,0.6521346244230064,-0.613772135422079,-0.7015372459982302,-0.6025651573571189
0.0,27,2021-02-20 00:00:00,,,-0.7266486959868126,-0.613772135422079,-0.7015372459982302
0.0,28,2021-02-20 12:00:00,,,,-0.7266486959868126,-0.613772135422079
0.0,29,2021-02-21 00:00:00,,,,,-0.7266486959868126
0.0,30,2021-02-21 12:00:00,,,,,
0.0,31,2021-02-22 00:00:00,-0.7018712699677037,0.6741095729342452,,,
0.0,32,2021-02-22 12:00:00,-0.7267524152936422,0.65501187902014,-0.7018712699677037,,
0.0,33,2021-02-23 00:00:00,,,-0.7267524152936422,-0.7018712699677037,
0.0,34,2021-02-23 12:00:00,,,,-0.7267524152936422,-0.7018712699677037
0.0,35,2021-02-24 00:00:00,,,,,-0.7267524152936422
0.0,36,2021-02-24 12:00:00,,,,,
0.0,37,2021-02-25 00:00:00,,,,,
0.0,38,2021-02-25 12:00:00,,,,,
0.0,39,2021-02-26 00:00:00,,,,,
0.0,40,2021-02-26 12:00:00,,,,,
0.0,41,2021-02-27 00:00:00,,,,,
0.0,42,2021-02-27 12:00:00,,,,,
0.0,43,2021-02-28 00:00:00,,,,,
0.0,44,2021-02-28 12:00:00,-0.7633564637809344,0.6134507402141478,,,
0.0,45,2021-03-01 00:00:00,,,-0.7633564637809344,,
0.0,46,2021-03-01 12:00:00,,,,-0.7633564637809344,
0.0,47,2021-03-02 00:00:00,,,,,-0.7633564637809344
0.0,48,2021-03-02 12:00:00,,,,,
0.0,49,2021-03-03 00:00:00,,,,,
0.0,50,2021-03-03 12:00:00,,,,,
0.0,51,2021-03-04 00:00:00,,,,,
0.0,52,2021-03-04 12:00:00,,,,,
0.0,53,2021-03-05 00:00:00,,,,,
0.0,54,2021-03-05 12:00:00,,,,,
0.0,55,2021-03-06 00:00:00,,,,,
0.0,56,2021-03-06 12:00:00,,,,,
0.0,57,2021-03-07 00:00:00,,,,,
0.0,58,2021-03-07 12:00:00,,,,,
0.0,59,2021-03-08 00:00:00,,,,,
0.0,60,2021-03-08 12:00:00,,,,,
0.0,61,2021-03-09 00:00:00,,,,,
0.0,62,2021-03-09 12:00:00,,,,,
0.0,63,2021-03-10 00:00:00,,,,,
0.0,64,2021-03-10 12:00:00,,,,,
0.0,65,2021-03-11 00:00:00,,,,,
0.0,66,2021-03-11 12:00:00,-0.7958589587725845,0.561543677661189,,,
0.0,67,2021-03-12 00:00:00,-0.7176036999250451,0.6612958704426077,-0.7958589587725845,,
0.0,68,2021-03-12 12:00:00,-0.7670413996761443,0.6041496866234817,-0.7176036999250451,-0.7958589587725845,
0.0,69,2021-03-13 00:00:00,,,-0.7670413996761443,-0.7176036999250451,-0.7958589587725845
0.0,70,2021-03-13 12:00:00,,,,-0.7670413996761443,-0.7176036999250451
0.0,71,2021-03-14 00:00:00,,,,,-0.7670413996761443
0.0,72,2021-03-14 12:00:00,,,,,
0.0,73,2021-03-15 00:00:00,,,,,
0.0,74,2021-03-15 12:00:00,,,,,
0.0,75,2021-03-16 00:00:00,,,,,
0.0,76,2021-03-16 12:00:00,,,,,
0.0,77,2021-03-17 00:00:00,,,,,
0.0,78,2021-03-17 12:00:00,,,,,
0.0,79,2021-03-18 00:00:00,,,,,
0.0,80,2021-03-18 12:00:00,,,,,
0.0,81,2021-03-19 00:00:00,,,,,
0.0,82,2021-03-19 12:00:00,,,,,
0.0,83,2021-03-20 00:00:00,,,,,
0.0,84,2021-03-20 12:00:00,,,,,
0.0,85,2021-03-21 00:00:00,,,,,
0.0,86,2021-03-21 12:00:00,,,,,
0.0,87,2021-03-22 00:00:00,,,,,
0.0,88,2021-03-22 12:00:00,,,,,
0.0,89,2021-03-23 00:00:00,,,,,
0.0,90,2021-03-23 12:00:00,,,,,
0.0,91,2021-03-24 00:00:00,,,,,
0.0,92,2021-03-24 12:00:00,,,,,
0.0,93,2021-03-25 00:00:00,,,,,
0.0,94,2021-03-25 12:00:00,,,,,
0.0,95,2021-03-26 00:00:00,,,,,
0.0,96,2021-03-26 12:00:00,,,,,
0.0,97,2021-03-27 00:00:00,,,,,
0.0,98,2021-03-27 12:00:00,,,,,
0.0,99,2021-03-28 00:00:00,,,,,
0.0,100,2021-03-28 12:00:00,,,,,
