period,,date,sentiment_score_mean,sentiment_score_std,sentiment_score_mean_n_1,sentiment_score_mean_n_2,sentiment_score_mean_n_3
0.0,0,2021-02-06 12:00:00,-0.6467768440707607,0.7159334542207908,-0.8199069592568579,-0.706000773407914,-0.7821137988325062
0.0,1,2021-02-07 00:00:00,-0.9017621097372995,0.3924990224819041,-0.6467768440707607,-0.8199069592568579,-0.706000773407914
0.0,2,2021-02-07 12:00:00,-0.8861125424982068,0.4311885825074604,-0.9017621097372995,-0.6467768440707607,-0.8199069592568579
0.0,3,2021-02-08 00:00:00,-0.8906404434239126,0.4182445205405221,-0.8861125424982068,-0.9017621097372995,-0.6467768440707607
0.0,4,2021-02-08 12:00:00,-0.5766756083439636,0.7889730744547977,-0.8906404434239126,-0.8861125424982068,-0.9017621097372995
0.0,5,2021-02-09 00:00:00,-0.23534007887741198,0.9278802898251448,-0.5766756083439636,-0.8906404434239126,-0.8861125424982068
0.0,6,2021-02-09 12:00:00,-0.7503642372122488,0.5828055912211352,-0.23534007887741198,-0.5766756083439636,-0.8906404434239126
0.0,7,2021-02-10 00:00:00,-0.8921417279460012,0.4014330549923637,-0.7503642372122488,-0.23534007887741198,-0.5766756083439636
0.0,8,2021-02-10 12:00:00,-0.8374950635931627,0.5137176876736378,-0.8921417279460012,-0.7503642372122488,-0.23534007887741198
0.0,9,2021-02-11 00:00:00,,,-0.8374950635931627,-0.8921417279460012,-0.7503642372122488
0.0,10,2021-02-11 12:00:00,,,,-0.8374950635931627,-0.8921417279460012
0.0,11,2021-02-12 00:00:00,,,,,-0.8374950635931627
0.0,12,2021-02-12 12:00:00,,,,,
0.0,13,2021-02-13 00:00:00,-0.8589846690368185,0.4880739590847924,,,
0.0,14,2021-02-13 12:00:00,-0.8372208420544394,0.48516586251438826,-0.8589846690368185,,
0.0,15,2021-02-14 00:00:00,-0.7019231279854727,0.6516669070685578,-0.8372208420544394,-0.8589846690368185,
0.0,16,2021-02-14 12:00:00,-0.8438222166259193,0.48504050961295603,-0.7019231279854727,-0.8372208420544394,-0.8589846690368185
0.0,17,2021-02-15 00:00:00,-0.6530870966100993,0.6966039778310587,-0.8438222166259193,-0.7019231279854727,-0.8372208420544394
0.0,18,2021-02-15 12:00:00,-0.8106256548653092,0.5541683733600752,-0.6530870966100993,-0.8438222166259193,-0.7019231279854727
0.0,19,2021-02-16 00:00:00,,,-0.8106256548653092,-0.6530870966100993,-0.8438222166259193
0.0,20,2021-02-16 12:00:00,,,,-0.8106256548653092,-0.6530870966100993
0.0,21,2021-02-17 00:00:00,,,,,-0.8106256548653092
0.0,22,2021-02-17 12:00:00,,,,,
0.0,23,2021-02-18 00:00:00,-0.5746230359723129,0.7907520344599844,,,
0.0,24,2021-02-18 12:00:00,-0.880699526948701,0.42545449614605285,-0.5746230359723129,,
0.0,25,2021-02-19 00:00:00,-0.7581537391023215,0.6257700428587971,-0.880699526948701,-0.5746230359723129,
0.0,26,2021-02-19 12:00:00,-0.7148038719817682,0.6545537912191494,-0.7581537391023215,-0.880699526948701,-0.5746230359723129
0.0,27,2021-02-20 00:00:00,,,-0.7148038719817682,-0.7581537391023215,-0.880699526948701
0.0,28,2021-02-20 12:00:00,,,,-0.7148038719817682,-0.7581537391023215
0.0,29,2021-02-21 00:00:00,,,,,-0.7148038719817682
0.0,30,2021-02-21 12:00:00,,,,,
0.0,31,2021-02-22 00:00:00,-0.47921081785316727,0.8429710470528383,,,
0.0,32,2021-02-22 12:00:00,-0.7019017603748255,0.681673892453253,-0.47921081785316727,,
0.0,33,2021-02-23 00:00:00,,,-0.7019017603748255,-0.47921081785316727,
0.0,34,2021-02-23 12:00:00,,,,-0.7019017603748255,-0.47921081785316727
0.0,35,2021-02-24 00:00:00,,,,,-0.7019017603748255
0.0,36,2021-02-24 12:00:00,,,,,
0.0,37,2021-02-25 00:00:00,,,,,
0.0,38,2021-02-25 12:00:00,,,,,
0.0,39,2021-02-26 00:00:00,,,,,
0.0,40,2021-02-26 12:00:00,,,,,
0.0,41,2021-02-27 00:00:00,,,,,
0.0,42,2021-02-27 12:00:00,,,,,
0.0,43,2021-02-28 00:00:00,,,,,
0.0,44,2021-02-28 12:00:00,-0.8225537020264343,0.5253227708067354,,,
0.0,45,2021-03-01 00:00:00,,,-0.8225537020264343,,
0.0,46,2021-03-01 12:00:00,,,,-0.8225537020264343,
0.0,47,2021-03-02 00:00:00,,,,,-0.8225537020264343
0.0,48,2021-03-02 12:00:00,,,,,
0.0,49,2021-03-03 00:00:00,,,,,
0.0,50,2021-03-03 12:00:00,,,,,
0.0,51,2021-03-04 00:00:00,,,,,
0.0,52,2021-03-04 12:00:00,,,,,
0.0,53,2021-03-05 00:00:00,,,,,
0.0,54,2021-03-05 12:00:00,,,,,
0.0,55,2021-03-06 00:00:00,,,,,
0.0,56,2021-03-06 12:00:00,,,,,
0.0,57,2021-03-07 00:00:00,,,,,
0.0,58,2021-03-07 12:00:00,,,,,
0.0,59,2021-03-08 00:00:00,,,,,
0.0,60,2021-03-08 12:00:00,,,,,
0.0,61,2021-03-09 00:00:00,,,,,
0.0,62,2021-03-09 12:00:00,,,,,
0.0,63,2021-03-10 00:00:00,,,,,
0.0,64,2021-03-10 12:00:00,,,,,
0.0,65,2021-03-11 00:00:00,,,,,
0.0,66,2021-03-11 12:00:00,-0.982684520637864,0.14809688557423575,,,
0.0,67,2021-03-12 00:00:00,-0.799868661381395,0.5720843260342551,-0.982684520637864,,
0.0,68,2021-03-12 12:00:00,-0.819142021542126,0.5429819958338542,-0.799868661381395,-0.982684520637864,
0.0,69,2021-03-13 00:00:00,,,-0.819142021542126,-0.799868661381395,-0.982684520637864
0.0,70,2021-03-13 12:00:00,,,,-0.819142021542126,-0.799868661381395
0.0,71,2021-03-14 00:00:00,,,,,-0.819142021542126
0.0,72,2021-03-14 12:00:00,,,,,
0.0,73,2021-03-15 00:00:00,,,,,
0.0,74,2021-03-15 12:00:00,,,,,
0.0,75,2021-03-16 00:00:00,,,,,
0.0,76,2021-03-16 12:00:00,,,,,
0.0,77,2021-03-17 00:00:00,,,,,
0.0,78,2021-03-17 12:00:00,,,,,
0.0,79,2021-03-18 00:00:00,,,,,
0.0,80,2021-03-18 12:00:00,,,,,
0.0,81,2021-03-19 00:00:00,,,,,
0.0,82,2021-03-19 12:00:00,,,,,
0.0,83,2021-03-20 00:00:00,,,,,
0.0,84,2021-03-20 12:00:00,,,,,
0.0,85,2021-03-21 00:00:00,,,,,
0.0,86,2021-03-21 12:00:00,,,,,
0.0,87,2021-03-22 00:00:00,,,,,
0.0,88,2021-03-22 12:00:00,,,,,
0.0,89,2021-03-23 00:00:00,,,,,
0.0,90,2021-03-23 12:00:00,,,,,
0.0,91,2021-03-24 00:00:00,,,,,
0.0,92,2021-03-24 12:00:00,,,,,
0.0,93,2021-03-25 00:00:00,,,,,
0.0,94,2021-03-25 12:00:00,,,,,
0.0,95,2021-03-26 00:00:00,,,,,
0.0,96,2021-03-26 12:00:00,,,,,
0.0,97,2021-03-27 00:00:00,,,,,
0.0,98,2021-03-27 12:00:00,,,,,
0.0,99,2021-03-28 00:00:00,,,,,
0.0,100,2021-03-28 12:00:00,,,,,
0.0,101,2021-03-29 00:00:00,,,,,
0.0,102,2021-03-29 12:00:00,,,,,
0.0,103,2021-03-30 00:00:00,,,,,
0.0,104,2021-03-30 12:00:00,,,,,
0.0,105,2021-03-31 00:00:00,,,,,
0.0,106,2021-03-31 12:00:00,,,,,
0.0,107,2021-04-01 00:00:00,,,,,
0.0,108,2021-04-01 12:00:00,,,,,
0.0,109,2021-04-02 00:00:00,,,,,
0.0,110,2021-04-02 12:00:00,,,,,
0.0,111,2021-04-03 00:00:00,,,,,
0.0,112,2021-04-03 12:00:00,,,,,
0.0,113,2021-04-04 00:00:00,,,,,
0.0,114,2021-04-04 12:00:00,,,,,
0.0,115,2021-04-05 00:00:00,-0.935468014318912,0.16284041906537466,,,
0.0,116,2021-04-05 12:00:00,-0.7368427568625892,0.5650906595045223,-0.935468014318912,,
0.0,117,2021-04-06 00:00:00,-0.6707874743144348,0.7093771117081571,-0.7368427568625892,-0.935468014318912,
0.0,118,2021-04-06 12:00:00,-0.7687322027884952,0.609660699883242,-0.6707874743144348,-0.7368427568625892,-0.935468014318912
0.0,119,2021-04-07 00:00:00,-0.7834393988296579,0.5763929242613081,-0.7687322027884952,-0.6707874743144348,-0.7368427568625892
0.0,120,2021-04-07 12:00:00,-0.6444535148925444,0.7057512806357554,-0.7834393988296579,-0.7687322027884952,-0.6707874743144348
0.0,121,2021-04-08 00:00:00,-0.7734442019477129,0.6074964425216215,-0.6444535148925444,-0.7834393988296579,-0.7687322027884952
0.0,122,2021-04-08 12:00:00,-0.30565966292043434,0.9161038212036369,-0.7734442019477129,-0.6444535148925444,-0.7834393988296579
0.0,123,2021-04-09 00:00:00,-0.7427242677299449,0.6007513364908806,-0.30565966292043434,-0.7734442019477129,-0.6444535148925444
0.0,124,2021-04-09 12:00:00,-0.8686273413256776,0.4433380929529343,-0.7427242677299449,-0.30565966292043434,-0.7734442019477129
0.0,125,2021-04-10 00:00:00,-0.7827503248469311,0.5361644875795976,-0.8686273413256776,-0.7427242677299449,-0.30565966292043434
0.0,126,2021-04-10 12:00:00,-0.8420588038297623,0.5132494084246766,-0.7827503248469311,-0.8686273413256776,-0.7427242677299449
0.0,127,2021-04-11 00:00:00,-0.7607893391037156,0.6324862681111646,-0.8420588038297623,-0.7827503248469311,-0.8686273413256776
0.0,128,2021-04-11 12:00:00,-0.868252379143263,0.4599347660042739,-0.7607893391037156,-0.8420588038297623,-0.7827503248469311
0.0,129,2021-04-12 00:00:00,-0.833118399849252,0.5140246376259016,-0.868252379143263,-0.7607893391037156,-0.8420588038297623
0.0,130,2021-04-12 12:00:00,-0.6959866189165944,0.6824360900563932,-0.833118399849252,-0.868252379143263,-0.7607893391037156
0.0,131,2021-04-13 00:00:00,,,-0.6959866189165944,-0.833118399849252,-0.868252379143263
0.0,132,2021-04-13 12:00:00,,,,-0.6959866189165944,-0.833118399849252
0.0,133,2021-04-14 00:00:00,,,,,-0.6959866189165944
0.0,134,2021-04-14 12:00:00,,,,,
0.0,135,2021-04-15 00:00:00,,,,,
0.0,136,2021-04-15 12:00:00,,,,,
0.0,137,2021-04-16 00:00:00,,,,,
0.0,138,2021-04-16 12:00:00,,,,,
0.0,139,2021-04-17 00:00:00,,,,,
0.0,140,2021-04-17 12:00:00,-0.5571097400302586,0.7826369181110956,,,
0.0,141,2021-04-18 00:00:00,-0.8706901995753156,0.4610329082990848,-0.5571097400302586,,
0.0,142,2021-04-18 12:00:00,-0.4332051226589587,0.8470923138294225,-0.8706901995753156,-0.5571097400302586,
0.0,143,2021-04-19 00:00:00,-0.8695706386641775,0.47600678371607746,-0.4332051226589587,-0.8706901995753156,-0.5571097400302586
0.0,144,2021-04-19 12:00:00,-0.8842568233056023,0.43276284873498166,-0.8695706386641775,-0.4332051226589587,-0.8706901995753156
0.0,145,2021-04-20 00:00:00,-0.8080688281717643,0.5430754099682122,-0.8842568233056023,-0.8695706386641775,-0.4332051226589587
0.0,146,2021-04-20 12:00:00,0.014154413323078707,0.9889274859397172,-0.8080688281717643,-0.8842568233056023,-0.8695706386641775
0.0,147,2021-04-21 00:00:00,-0.8056412474696676,0.5587981620155573,0.014154413323078707,-0.8080688281717643,-0.8842568233056023
0.0,148,2021-04-21 12:00:00,-0.6627090858860892,0.7081576833880061,-0.8056412474696676,0.014154413323078707,-0.8080688281717643
0.0,149,2021-04-22 00:00:00,-0.6080919987108682,0.7727458137807725,-0.6627090858860892,-0.8056412474696676,0.014154413323078707
0.0,150,2021-04-22 12:00:00,-0.8368807928771491,0.4984659899503379,-0.6080919987108682,-0.6627090858860892,-0.8056412474696676
0.0,151,2021-04-23 00:00:00,-0.9019845622135992,0.40817711284336705,-0.8368807928771491,-0.6080919987108682,-0.6627090858860892
0.0,152,2021-04-23 12:00:00,-0.9084929830314329,0.3905898552280542,-0.9019845622135992,-0.8368807928771491,-0.6080919987108682
0.0,153,2021-04-24 00:00:00,-0.8449169311637013,0.5044470505006583,-0.9084929830314329,-0.9019845622135992,-0.8368807928771491
0.0,154,2021-04-24 12:00:00,-0.7485968622987728,0.6270684197846312,-0.8449169311637013,-0.9084929830314329,-0.9019845622135992
0.0,155,2021-04-25 00:00:00,,,-0.7485968622987728,-0.8449169311637013,-0.9084929830314329
0.0,156,2021-04-25 12:00:00,,,,-0.7485968622987728,-0.8449169311637013
0.0,157,2021-04-26 00:00:00,,,,,-0.7485968622987728
0.0,158,2021-04-26 12:00:00,,,,,
0.0,159,2021-04-27 00:00:00,,,,,
0.0,160,2021-04-27 12:00:00,,,,,
0.0,161,2021-04-28 00:00:00,,,,,
0.0,162,2021-04-28 12:00:00,,,,,
0.0,163,2021-04-29 00:00:00,,,,,
0.0,164,2021-04-29 12:00:00,,,,,
0.0,165,2021-04-30 00:00:00,,,,,
0.0,166,2021-04-30 12:00:00,,,,,
0.0,167,2021-05-01 00:00:00,,,,,
0.0,168,2021-05-01 12:00:00,,,,,
0.0,169,2021-05-02 00:00:00,,,,,
0.0,170,2021-05-02 12:00:00,,,,,
0.0,171,2021-05-03 00:00:00,,,,,
0.0,172,2021-05-03 12:00:00,,,,,
0.0,173,2021-05-04 00:00:00,,,,,
0.0,174,2021-05-04 12:00:00,,,,,
0.0,175,2021-05-05 00:00:00,,,,,
0.0,176,2021-05-05 12:00:00,,,,,
0.0,177,2021-05-06 00:00:00,,,,,
0.0,178,2021-05-06 12:00:00,,,,,
0.0,179,2021-05-07 00:00:00,,,,,
0.0,180,2021-05-07 12:00:00,,,,,
0.0,181,2021-05-08 00:00:00,,,,,
0.0,182,2021-05-08 12:00:00,,,,,
0.0,183,2021-05-09 00:00:00,,,,,
0.0,184,2021-05-09 12:00:00,,,,,
0.0,185,2021-05-10 00:00:00,,,,,
0.0,186,2021-05-10 12:00:00,,,,,
0.0,187,2021-05-11 00:00:00,,,,,
0.0,188,2021-05-11 12:00:00,,,,,
0.0,189,2021-05-12 00:00:00,,,,,
0.0,190,2021-05-12 12:00:00,,,,,
0.0,191,2021-05-13 00:00:00,,,,,
0.0,192,2021-05-13 12:00:00,,,,,
0.0,193,2021-05-14 00:00:00,,,,,
0.0,194,2021-05-14 12:00:00,,,,,
0.0,195,2021-05-15 00:00:00,,,,,
0.0,196,2021-05-15 12:00:00,,,,,
0.0,197,2021-05-16 00:00:00,,,,,
0.0,198,2021-05-16 12:00:00,,,,,
0.0,199,2021-05-17 00:00:00,,,,,
0.0,200,2021-05-17 12:00:00,,,,,
0.0,201,2021-05-18 00:00:00,,,,,
0.0,202,2021-05-18 12:00:00,,,,,
0.0,203,2021-05-19 00:00:00,,,,,
0.0,204,2021-05-19 12:00:00,,,,,
0.0,205,2021-05-20 00:00:00,,,,,
0.0,206,2021-05-20 12:00:00,,,,,
0.0,207,2021-05-21 00:00:00,,,,,
0.0,208,2021-05-21 12:00:00,,,,,
0.0,209,2021-05-22 00:00:00,,,,,
0.0,210,2021-05-22 12:00:00,,,,,
0.0,211,2021-05-23 00:00:00,,,,,
0.0,212,2021-05-23 12:00:00,,,,,
0.0,213,2021-05-24 00:00:00,,,,,
0.0,214,2021-05-24 12:00:00,,,,,
0.0,215,2021-05-25 00:00:00,-0.9341941309619667,0.3053345803304669,,,
0.0,216,2021-05-25 12:00:00,-0.6994724585550559,0.6740825890822697,-0.9341941309619667,,
0.0,217,2021-05-26 00:00:00,-0.8559105446271643,0.48097035217608547,-0.6994724585550559,-0.9341941309619667,
